XData,YData1,YData2,YData3,YData4
0.3361,-0.420353175875439,-0.48747450949101,0.150301,0.167363
0.3371,-0.420031758125756,-0.486899936451499,0.156731,0.174559
0.3381,-0.419694118592746,-0.486306500002883,0.163107,0.181698
0.3391,-0.419339888616871,-0.485693841105953,0.169423,0.188776
0.3401,-0.418968699026426,-0.485061600314026,0.175681,0.195793
0.3411,-0.418580180270539,-0.484409417905735,0.181877,0.202747
0.3421,-0.418173962553668,-0.483736934019308,0.188009,0.209635
0.3431,-0.417749675971564,-0.483043788788308,0.194077,0.216456
0.3441,-0.417306950648672,-0.482329622478798,0.200077,0.223206
0.3451,-0.416845416876926,-0.481594075627917,0.206009,0.229887
0.3461,-0.416364705255928,-0.480836789183807,0.21187,0.236494
0.3471,-0.415864446834444,-0.480057404646883,0.21766,0.243027
0.3481,-0.415344273253216,-0.47925556421238,0.223377,0.249485
0.3491,-0.414803816889018,-0.478430910914176,0.229018,0.255865
0.3501,-0.414242710999945,-0.477583088769808,0.234584,0.262166
0.3511,-0.413660589871867,-0.476711742926677,0.240072,0.268387
0.3521,-0.41305708896603,-0.475816519809378,0.245482,0.274527
0.3531,-0.41243184506774,-0.47489706726811,0.250812,0.280584
0.3541,-0.411784496436091,-0.473953034728134,0.25606,0.286556
0.3551,-0.411114682954693,-0.472984073340215,0.261228,0.292445
0.3561,-0.410422046283344,-0.471989836132007,0.266311,0.298246
0.3571,-0.409706230010596,-0.47096997816033,0.271312,0.30396
0.3581,-0.408966879807161,-0.469924156664281,0.276227,0.309587
0.3591,-0.408203643580113,-0.468852031219127,0.281057,0.315125
0.3601,-0.407416171627813,-0.467753263890929,0.285803,0.320574
0.3611,-0.406604116795515,-0.466627519391831,0.290459,0.325931
0.3621,-0.405767134631579,-0.465474465235957,0.29503,0.331199
0.3631,-0.404904883544245,-0.464293771895863,0.299512,0.336374
0.3641,-0.404017024958901,-0.46308511295947,0.303906,0.341458
0.3651,-0.403103223475772,-0.461848165287425,0.308212,0.34645
0.3661,-0.402163147027977,-0.460582609170812,0.312428,0.351348
0.3671,-0.401196467039881,-0.459288128489164,0.316556,0.356154
0.3681,-0.400202858585682,-0.457964410868693,0.320594,0.360865
0.3691,-0.399182000548145,-0.456611147840671,0.324543,0.365484
